id,Рецепт,Ссылка
4416,"Картошка, запечённая в духовке с водорослями нори",https://www.russianfood.com/recipes/recipe.php?rid=173150
4417,"Запечённые кабачки с чесноком, зеленью и пармезаном",https://www.russianfood.com/recipes/recipe.php?rid=178821
4418,Масло сливочное ароматизированное,https://www.russianfood.com/recipes/recipe.php?rid=122517
4419,Свиное филе с нереально вкусным соусом,https://www.russianfood.com/recipes/recipe.php?rid=120848
4420,"Картофель, запеченный в молочном соусе",https://www.russianfood.com/recipes/recipe.php?rid=129157
4421,Перловая каша с грибами в горшочке,https://www.russianfood.com/recipes/recipe.php?rid=122579
4422,Дважды печенный картофель,https://www.russianfood.com/recipes/recipe.php?rid=123471
4423,Рис по-карибски,https://www.russianfood.com/recipes/recipe.php?rid=129232
4424,"Капуста, тушенная с тыквой",https://www.russianfood.com/recipes/recipe.php?rid=125161
4425,Рис по-мексикански,https://www.russianfood.com/recipes/recipe.php?rid=119383
4427,Тыква в кисло-сладком соусе (Агродольче),https://www.russianfood.com/recipes/recipe.php?rid=124775
4428,Зейтиньяглы из сельдерея с апельсином,https://www.russianfood.com/recipes/recipe.php?rid=178014
4429,Фасоль по-андалузски,https://www.russianfood.com/recipes/recipe.php?rid=126862
4430,"Помидоры, фаршированные рисом",https://www.russianfood.com/recipes/recipe.php?rid=120952
4431,Цветная капуста по-польски,https://www.russianfood.com/recipes/recipe.php?rid=127768
4432,Закуска из кабачков и шампиньонов,https://www.russianfood.com/recipes/recipe.php?rid=135478
4433,Лечо по-болгарски,https://www.russianfood.com/recipes/recipe.php?rid=133140
4434,Постный рис по-монастырски,https://www.russianfood.com/recipes/recipe.php?rid=130501
4435,Герцогский картофель,https://www.russianfood.com/recipes/recipe.php?rid=139057
4436,Запеченный картофель с чесноком,https://www.russianfood.com/recipes/recipe.php?rid=140934
4437,"Картофель, запеченый слоями",https://www.russianfood.com/recipes/recipe.php?rid=115811
4438,Картофель со сметаной и зеленым луком,https://www.russianfood.com/recipes/recipe.php?rid=115951
4439,"Цветная капуста, запеченная под сырной корочкой",https://www.russianfood.com/recipes/recipe.php?rid=127501
4440,Фасоль по-тоскански с чесноком и шалфеем,https://www.russianfood.com/recipes/recipe.php?rid=126659
4441,Теплый картофельный салат,https://www.russianfood.com/recipes/recipe.php?rid=140363
4442,Чатни из перца,https://www.russianfood.com/recipes/recipe.php?rid=121665
4443,Румяные картофельные дольки на гарнир,https://www.russianfood.com/recipes/recipe.php?rid=122750
4444,Печеный картофель в духовке,https://www.russianfood.com/recipes/recipe.php?rid=121102
4447,Молодая картошка с чесночно-ореховой заправкой,https://www.russianfood.com/recipes/recipe.php?rid=123182
4448,Рис с зеленым горошком,https://www.russianfood.com/recipes/recipe.php?rid=116310
4449,Рис с баклажанами,https://www.russianfood.com/recipes/recipe.php?rid=125059
4450,"Скумбрия с овощами, в духовке",https://www.russianfood.com/recipes/recipe.php?rid=143154
4451,Молодая картошка в манной панировке (в духовке),https://www.russianfood.com/recipes/recipe.php?rid=167352
4453,Кускус традиционный,https://www.russianfood.com/recipes/recipe.php?rid=101007
4454,Тушеная капуста по-индийски,https://www.russianfood.com/recipes/recipe.php?rid=144918
4455,"Салат из пекинской капусты, со спагетти и морскими гребешками",https://www.russianfood.com/recipes/recipe.php?rid=137356
4456,"Капуста, тушенная с грибами и пшеном",https://www.russianfood.com/recipes/recipe.php?rid=165677
